alter,"v. 更改；修改（衣服使更合身）
[网络] 改变；变更；改动"
solemnly,adv. 庄严地；严肃地
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
a memorial ceremony,无
the late ...,[网络] 已故的；后期；之队已故
priceless,"a. 无价的, 极贵重的"
remembrance,"n. 回想, 记忆, 纪念品, 记忆力, 问候, 致意"
compel,"vt. 强迫, 迫使"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
[医] 生殖的, 遗传的"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
wrongly,"adv. 错误地, 不恰当地, 不正确地, 不正直地, 不公正地"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
jury,"n. 陪审团；裁判委员会
adj. 【航】(船上)应急用的
[网络] 评判委员会；全体评审员；评委"
cooperate,"vi. 合作, 协力, 配合
[化] 合作"
cargo,"n. 货物
[经] 货柜"
inspection,"n. 检验, 检查, 视察
[医] 检查, 视察, 监督, 望诊"
diplomat,"n. 外交官, 有外交手腕的人
[法] 外交家, 外交官, 有权谋的人"
counterpart,"n. 副本, 复本, 配对物, 相应物
[经] 副本, 正副二份中之一"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
push for ...,奋力争取
financially,adv. 金融上；财政上
donation,"n. 捐赠物, 捐款, 捐赠
[经] 赠品, 捐款, 捐赠"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
offshore,"adv. 离岸, 近海岸
a. 离岸的, 向海的, 近海的, (美)国外的"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
thankful,"a. 感谢的, 感激的, 欣慰的"
hospitality,"n. 款待, 亲切, 殷勤"
dedicate,"vt. 献出, 贡献"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
analyst,"n. 分析者, 精神分析学家
[化] 分析员; 化验员"
prediction,"n. 预言, 预报
[化] 预测"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
indifference,"n. 不重视, 无兴趣, 漠不关心
[法] 中立, 不偏袒, 不重视"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
[化] 推下"
disclose,"vt. 揭露, 透露
[法] 揭发, 揭露, 公开"
accountant,"n. 会计人员, 会计师
[经] 会计师, 会计人员"
dishonest,"a. 不诚实的
[法] 不忠实的, 不诚实的, 欺诈的"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
resemblance,"n. 相似处, 类似, 肖像"
displease,"v. 使不愉快, 使(人)生气"
cheaply,adv. 便宜地
coarse,"a. 粗糙的, 下等的, 粗俗的
[计] 粗略的"
dissatisfy,"vt. 使感觉不满, 不满足"
trusting,"a. 轻信的, 信任他人的, 深信不疑的"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
[计] 转出; 转储; 倾卸; 切断电源"
trash,"n. 垃圾, 废物
vt. 丢弃"
eliminate,"vt. 除去, 排除, 剔除, 消除"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
odor,"n. 气味, 香味, 名声, 意味
[医] 气味"
unsatisfactory,a. 不令人满意的
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
earnestly,adv. 诚挚地；认真地
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
Islam,n. 伊斯兰教
equip,"vt. 装备, 配备
[机] 设备, 装置"
electron,"n. 电子
[化] 电子"
microscope,"n. 显微镜
[化] 显微镜"
push for ...,奋力争取
murderer,"n. 凶手, 杀人者, 谋害者
[法] 谋杀犯, 凶手"
execute,"vt. 执行, 实行, 完成, 处死, 制成
[计] 执行"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
[法] 奴隶制度, 奴役, 苦役"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
[计] 提取"
cork,"n. 软木塞, 软木树, 软木
[化] 木栓"
sophisticated,"a. 复杂的, 久经世故的
[法] 尖端的, 高级的, 非常有经验的"
mathematician,n. 数学家
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
foster,"vt. 培养；养育, 抚育；抱（希望等）
a. 收养的, 养育的
n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
[计] 弧体"
insufficient,"a. 不够的, 不能胜任的, 不充足的
[法] 不足的, 不充分的, 不能胜任的"
funding,[经] 债务转期
continually,"adv. 不断地, 频繁地"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片
n. (Crisp)人名；(英)克里斯普"
juicy,"a. 多汁液的, 生动的, 多水分的"
unreasonable,"a. 不合理的, 过度的, 不切实际的
[法] 不讲道理的, 非理智的, 不合理的"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
[法] 关押, 监禁, 限制"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
inflict,"vt. 施以, 加害, 使承受
[法] 处, 加, 予以"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
dialog,"n. 会话, 对话
[计] 对话"
the first ... in ... years,无
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
[计] 插入"
individually,"adv. 以个人身分, 各个地, 独特地"
decent,"a. 有分寸的, 得体的, 大方的"
craftsman,"n. 工匠, 技工, 手艺人"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
exclusive,"a. 排外的, 独占的, 唯一的
[计] 独占的"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
mingle,v. (使)混合
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
mold,"n. 模具；霉；霉菌；铸模
v. 塑造；对…影响重大；将…塑造成；吻合
abbr. (=mould)
[网络] 模子；模型；成型"
nutrition,"n. 营养, 营养学
[医] 营养, 营养品"
mislead,vt. 误导
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
headmaster,"n. (中小学)校长, 监工"
inspiring,a. 鼓舞人心的
astronaut,"n. 太空旅行者, 宇航员
[法] 美国太空人"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
[经] 促动, 激发, 激励"
dropout,"n. 退学学生, 中途退学
[电] 离去"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
unsuccessful,a. 不成功的
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
[法] 打翻, 倾覆, 覆盖"
gratitude,n. 感激之情
generosity,"n. 慷慨, 宽大"
overwork,"n. 过度操劳的工作, 额外工作
v. (使)工作过度, 使过分劳累"
symptom,"n. 症状, 征候, 征兆
[医] 症状"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
curiously,adv. 好奇地
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
[法] 成问题的, 令人怀疑的"
dependence,"n. 依赖, 依存, 信赖
[医] 依赖(如对药物的依赖,即瘾或癖), 从属, 偏利共生"
persist,"vi. 坚持, 固执, 持续, 坚称
[经] 持续"
therapy,"suf. 表示“治疗”,“疗法”：physiotherapy"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
irresponsible,a. 不负责任的；不可靠的
provoke,"vt. 激怒, 惹起, 诱导
[法] 刺激, 煽动, 激怒"
rebellion,"n. 谋反, 叛乱, 反抗
[法] 造反, 反叛, 叛乱"
unemployed,"a. 失业的, 未被利用的
[经] 没有被雇用的, 失业的, 没有被利用的"
inevitably,adv. 不可避免地
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
innovation,"n. 改革, 创新
[法] 创新, 改革, 刷新"
reassure,"vt. 使...安心, 向...再保证
[法] 重新保证, 再保险, 使清除疑虑"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
[医] 妊娠的, 有孕的"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
rebuild,"vt. 重建；改造, 重新组装；复原
vi. 重建"
regain,"vt. 恢复；重新获得；收回
vi. 上涨
n. 收复；取回"
brilliance,"n. 卓越, 光辉
[电] 辉度"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
[医] 隆凸, 凸"
closing,"n. 结束
a. 结束的"
speculation,"n. 沉思, 推测, 投机
[经] 投机交易, 买空卖空"
hardship,"n. 艰难, 辛苦, 苦难
[法] 受苦, 吃苦, 苦难"
reopen,"v. 重开, 再开始, 再开"
financial hardship,[网络] 经济困难；财务困难；财务难处
replay,"vt. 重新比赛, 重演
n. 重赛"
repeatedly,"adv. 重复地, 再三地"
in order to do, 俾
restructure,"vt. 更改结构, 重建, 调整"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
cosmetic,"n. 化妆品
a. 化妆用的"
considerably,"adv. 非常地, 很, 颇"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
[医] 锐敏的; 精细的"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
get out of the way of a car,无
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
deliberately,adv. 故意地
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
a music box,无
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
soapy,"a. 涂着肥皂的, 谄媚的, 圆滑的"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
[法] 镇压, 平定, 禁止出版"
sweetly,"adv. 甜美地, 惬意地, 讨人喜欢地"
trustworthy,"a. 可信赖的
[法] 可信任的, 可靠的, 可信赖的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
terrify,"vt. 使恐惧, 恐吓"
fearless,"a. 大胆的, 勇敢的, 无畏的"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
[计] 撤消"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
restless,"a. 不安静的, 慌张的, 休息不充分的
[医] 不安静的, 不宁的"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
wrap ... around ...,"a. 裹身的, 卷上的, 全景的
n. 缠在身上的衣服"
identification,"n. 识别, 身份证明, 认同
[化] 鉴定; 鉴别; 鉴别法; 认证"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
[计] 解出锁定"
punch in ...,"na. 用记时钟在考勤卡上打印上(下)班时间
[网络] 上班打卡；打上班钟卡；打卡上班"
neatly,"adv. 整洁地, 干净地, 匀称地"
utilize,vt. 利用
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
inadequate,"a. 不充分的, 不适当的
[法] 不充分的, 不适当的"
supervision,"n. 监督, 管理
[经] 监督, 管理"
compensation,"n. 补偿, 赔偿金, 工资
[医] 代偿(机能), 补偿"
lacking,"a. 缺乏的, 不足的"
assess,"vt. 估定, 对...征税, 评定
[经] 估计, 估价, 确定(税款罚款等)的金额"
positively,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
[计] 属性"
modesty,"n. 谦逊, 质朴, 羞怯"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
nobility,"n. 贵族, 高尚, 贵族阶级"
masterpiece,"n. 杰作, 名著"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
comprehend,"vt. 理解, 包括"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
insight,"na. 看得见；“in/within sight”的变体
[网络] 内视；洞见；洞察力"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
ultimately,"adv. 最后, 最终
[法] 最后, 终究, 总之"
disapprove,v. 不赞成
distrust,"n. 不信任
vt. 不信任"
habitual,"a. 习惯的, 惯常的, 平常的
[法] 习惯的, 以习惯为常业的, 惯常的"
offender,"n. 罪犯, 无礼的人, 得罪人的人"
denial,"n. 否认
[法] 否定, 否认, 拒绝接受"
accusation,"n. 控告, 指控, 指责
[法] 控告, 起诉, 告发"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
exceedingly,"adv. 极端地, 极度地, 非常"
orthodox,"a. 正统的, 传统的, 惯常的"
memorize,"vt. 记住, 熟记, 背熟"
perfection,"n. 完美, 完成, 极端
[经] 完整性"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
[法] 详述, 列举事实, 复述"
never fail to do,"na. 必定
[网络] 从未做不到；总是能；总是做某事"
in time for ...,及时赶上…
resent,"vt. 愤恨, 憎恶, 怨恨"
impolite,"a. 无礼的, 粗鲁的"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
[化] 报废; 拒收"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
unpaid,"a. 未付款的, 不支薪水的
[经] 未付的, 未缴纳的"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
[化] 可达范围; 覆盖度"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
Satan,"n. 撒旦, 魔鬼"
beak,"n. 鸟嘴, 喙
[医] 嘴, 喙"
cuckoo,"n. 布谷鸟；杜鹃鸟；傻子；咕咕声
a. 愚笨的；疯狂的
vi. 学杜鹃叫
vt. 不停地重复"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
fowl,"n. 鸟, 飞禽, 家禽
vi. 打鸟"
gene,"n. 基因
[化] 基因(遗传因子)"
mammal,"n. 哺乳动物
[化] 哺乳动物"
octopus,n. 章鱼
peacock,"n. 孔雀, 好炫耀的人
vi. 炫耀, 神气活现地行走"
ram,"n. 公羊, 撞锤
vi. 猛击, 撞
vt. 猛击, 填塞, 反复灌输
n. 只读内存, 随机存取内存, 随机存取存储器
[计] 随机存取存储器"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
tortoise,"n. 龟, 行动迟缓的人"
watchdog,"[法] 守卫, 监察人, 监督; 为...看门, 监督"
athletics,n. 体育运动
badminton,n. 羽毛球运动
cycling,"n. 骑脚踏车兜风, 骑脚踏车消遣
[机] 循环操作"
excursion,"n. 远足, 游览圆, 短程旅行
[医] 移动, 离轨, 逸出"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
backbone,"n. 脊椎, 志气, 骨干, 支柱
[计] 主干网, 主干网点"
digestion,"n. 消化力, 领悟
[化] 消化; 消化作用; 蒸煮; 蒸煮作用; 煮解; 浸提; 陈化"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
[医] 适合性, 适应性"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
vitality,"n. 活力, 生命力
[医] 生机, 活力, 生活"
anticipation,"n. 预期, 预料
[医] 提前出现(如遗传病)"
bitterness,"n. 苦味, 悲痛, 怨恨"
bravery,n. 勇敢
conception,"n. 观念, 概念
[医] 妊娠, 受孕; 概念"
contentment,"n. 满足, 使人满意的事物, 满意"
coolness,"n. 冷, 凉爽, 冷静"
disagreement,"n. 不合, 争论, 不一致
[法] 不一致, 不同意, 陪审团的意见不一"
embarrassment,"n. 困难, 阻碍, 困窘
[医] 窘迫"
encouragement,"n. 鼓励, 激励, 奖励
[法] 怂恿, 煽动, 助长"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
forgiveness,"n. 宽恕, 宽仁之心"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
[计] 暂停"
impatience,"n. 性急, 难耐, 焦急, 急躁"
intellect,"n. 智力, 出众的才华, 知识分子
[医] 智力, 才智"
irritation,"n. 刺激, 烦恼, 刺激物
[医] 刺激[作用], 兴奋"
liking,"n. 爱好, 嗜好"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
[医] 损害, 讨厌"
originality,"n. 创意, 新奇, 独创能力, 原始"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
[计] 透视"
purity,"n. 纯净, 纯正, 纯粹
[化] 纯度"
sincerity,"n. 诚实, 真实, 诚心诚意"
stimulus,"n. 刺激, 激励, 刺激品
[医] 刺激特, 刺激"
stupidity,"n. 愚蠢, 糊涂事
[医] 迟钝"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
[经] 未定, 暂记"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
adjective,"n. 形容词
a. 形容词的, 从属的"
adverb,n. 副词
astronomy,n. 天文学
biography,n. 传记
Buddhism,n. 佛教
classification,"n. 分类, 分级
[化] 分级; 分粒; 分类"
clause,"n. 子句, 条款
[计] 子句"
curriculum,"n. 课程
[医] 课程, 学程"
diagram,n. 图表；图解
diversity,"n. 差异, 多样性
[化] 多样性"
economics,"n. 经济学
[经] 经济学"
ego,"n. 自我；自我价值感
abbr. (=eccentric geophysical observatory)偏心轨道地球物理观测卫星
[网络] 小我；自负；我执"
equation,"n. 相等, 等式, 平衡
[化] 方程式; 等式; 反应式; 公式"
ethics,"n. 道德规范
[医] 伦理学"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
[医] 能力, [大学]院系"
geometry,"n. 几何学
[机] 几何学"
holiness,"n. 神圣；圣座（大写, 对教宗等的尊称）"
idiom,"n. 习语, 成语, 惯用语法, 方言"
metaphor,n. 隐喻
molecule,"n. 分子, 些微
[化] 分子"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
[化] 佯谬"
reasoning,"n. 推论, 推理, 论证
[化] 推理"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
schooling,"n. 学校教育, 学费"
Shinto,n. 日本的神道教（1945年前为日本国教 ）
sociology,"n. 社会学
[医] 社会学"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
[计] 摘要; 概要"
syllable,"n. 音节
vt. 分成音节
[计] 字节"
vowel,"n. 元音
a. 元音的"
bacteria,"pl. 细菌
[医] 细菌, [无芽胞]杆菌"
brook,"n. 小溪
vt. 容忍"
comet,n. 彗星
daybreak,"n. 破晓
[网络] 黎明之家；旦"
dew,"n. 露；露水
v. 喷湿；结露水
[网络] 露珠；定向能武器(directed energy weapons)；清新"
gravity,"n. 地心引力, 重力
[化] 重力"
grove,n. 小树林
herb,"n. 香草，药草
n. (Herb)人名；(德、英、瑞典)赫布"
rainfall,"n. 降雨, 降雨量
[经] 降雨量"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
seaweed,"n. 海草, 海藻
[医] 海藻"
snowstorm, 暴风雪，雪暴; “雪花”干扰
springtime,[网络] 春天；春时；普润
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
[医] 流产, 小产; 顿挫"
accounting,"n. 会计学, 帐单, 清帐
[计] 帐户处理, 记帐"
aftercare, [医]术后疗法，康复治疗，出院后护理，产后护理
applause,n. 欢呼，喝采；鼓掌欢迎
ascent,"n. 上升, 提高, 攀登, 上坡路"
assessment,"n. 评估, 估定, 评定的款额
[化] 评估"
attendance,"n. 出席, 出席的人数, 照料
[法] 管理, 照料, 资助"
bargaining,"n. 讨价还价, 谈判, 交涉
[经] 议价, 讨价还价, 交易"
betrayal,"n. 背叛, 辜负
[法] 背叛, 通敌, 背信"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
booking,"n. 预约演出合同
[机] 书型模法"
boycott,"n. 联合抵制
vt. 联合抵制"
breaking,"[计] 断开, 停止, 设断点
[化] 打开; 分割; 打碎; 轧碎; 破碎"
burial,"n. 埋葬, 葬礼
[法] 埋葬, 葬礼"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
checkup,"核对, 检查
[经] 检查, 查对"
circulation,"n. 流通, 循环, 发行量
[化] 环流"
clearing,"n. 清扫, 空地, 票据清算
[经] 票据交换, 结算, 结帐"
cluster,"n. 群集；簇；组；挂
v. 集中；簇拥；(使)成群；(使)群集
[网络] 聚集"
coating,"n. 涂层, 上衣衣料
[计] 涂复, 涂层, 镀层, 敷层"
coloring,"n. 着色, 色彩, 色调, 面色, 气色, 外貌, 伪装, 色素, 颜料, 染料, 着色剂, 特质
[建] 着色, 染色"
comeback,"n. 复原, 复辟, 复位, 尖刻的对答, 抱怨的原因
[计] 复原的"
complication,"n. 复杂化, 复杂情况
[医] 并发症, 并发病"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
consultation,"n. 请教, 咨询, 磋商会
[医] 会诊"
controversy,"n. 论争, 辩论, 论战, 争论
[法] 论战, 争论, 争吵"
correction,"n. 订正, 改正, 改正的地方
[化] 校正"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counseling,n. 咨询服务
cue,"n. 暗示；提示；信号；（戏剧的）提示
v. 给（某人）暗示（或提示）
[网络] 球杆；线索；凯迪拉克用户体验(Cadillac User Experience)"
deceit,"n. 欺骗, 谎言
[经] 诈骗, 欺骗"
deception,"n. 欺骗, 诡计
[法] 瞒骗, 诈欺, 欺骗"
demerit,"n. 缺点, 短处, 过失"
disturbance,"n. 扰乱, 不安, 忧虑
[化] 扰动; 干扰; 失调"
dullness,n. dull的变形
endurance,"n. 忍耐, 忍耐力, 耐性
[机] 持九性"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
excellence,"n. 优秀, 卓越, 优点"
facsimile,"n. 摹(真)本, 传真
vt. 传真, 临摹
a. 复制的
[计] 复制; 传真; 精确复制"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
flexibility,"n. 弹性, 适应性
[计] 灵活性; 适应性"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
formality,"n. 礼节, 拘谨, 正式手续
[化] 克式浓度"
formula,"n. 客套语, 公式, 准则
[计] 公式"
fragment,"n. 碎片, 破片, 片段
[计] 段落; 片段; 分段"
fuck,"vt. 与...性交, 欺骗, 诅咒
vi. 性交
n. 性交, 些微, 杂种
interj. 他妈的, 混帐"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
gathering,"n. 聚集, 集中, 采集
[化] 富集"
grouping,"n. 分组
[计] 组"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hum,"n. 嗡嗡声；交流声；哼哼声；嘈杂声
v. 哼(歌曲)；〈口语〉欺骗；发出嗡嗡声或呼呼声:；(在嘴里)咕咕哝哝
int. 哼!（表示轻蔑、踌躇、怀疑等）
[网络] 嗯；嗡嗡叫；人可不可以更简单"
idleness,"n. 懒惰, 闲散, 失业
[化] 空载"
impossibility,"n. 不可能之事, 不可能
[法] 不可能性, 不可能的事"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
[化] 倾角"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
inquiry,"n. 质询, 探索, 调查, 询盘
[计] 询问; 查询"
interpretation,"n. 解释, 演出, 翻译
[计] 插值; 插值法; 解释"
interruption,"n. 打扰, 中断, 障碍物
[医] 间断, 阻断, 中止"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
manhood,"n. 成年, 勇气, 男儿
[法] 成年身分, 成年, 男子"
moderation,"n. 缓和, 适度, 温和
[化] 慢化"
morality,"n. 道德, 教训, 品行
[法] 道德, 道义"
narration,"n. 叙述, 故事, 叙述文
[法] 陈诉, 原告陈述者事实"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
navigation,"n. 航行, 航海, 导航
[经] 航空, 航海, 航船"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
[法] 时事通讯, 时事信札"
nomination,"n. 提名, 任命, 提名权"
ownership,"n. 所有权, 物主身份
[经] 所有权, 所有制"
peculiarity,"n. 特质, 特性, 怪癖"
penetration,"n. 穿透, 渗透, 侵入, 识穿, 洞察(力)
[化] 渗入"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
