deepen,"vi. 深化
vt. 使加深, 使强烈"
deliberately,adv. 故意地
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
detractor,"n. 毁损者, 贬低者"
diesel,"n. 内燃机, 柴油机, 柴油"
disintegrate,"vt. (使)分解, (使)碎裂
[医] 分解, 分裂, 蜕变"
documentary,"adj. 记录的；文件的；记实的
n. 纪录片"
documentation,"n. (总称)文件
[计] 文件编制, 文档"
dune,[网络] 沙丘
elect,"adj. 选出的；当选的；卓越的
n. 被选的人；特殊阶层；上帝的选民
vt. 选举；选择；推选
vi. 作出选择；进行选举"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
embed,"vt. 使插入, 使嵌入, 使深留脑中
[计] 嵌入"
embryo,"n. 胚胎, 胎儿, 胚芽
[医] 胚, 胚胎"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
envision,"vt. 想象, 预想"
Eurasian,"n. 欧亚混血儿
a. 欧亚的, 欧亚人的"
evenly,"adv. 平衡地, 平坦地, 平等地"
exogenous,"a. 外生的
[医] 外原的, 外生的"
expanse,"n. 宽阔区域, 宽阔, 天空"
fabricate,"vt. 制造, 建造, 装配, 伪造"
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
fiber,"n. 纤维, 构造, 纤维制品
[化] 纤维"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
floral,"a. 花似的, 花的, 植物的"
forbid,"vt. 禁止, 不准, 妨碍
[法] 不许, 禁止, 阻止"
ford,[网络] 福特
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
fresco,"n. 湿壁画, 湿壁画技法
vt. 作湿壁画于"
Freudian,"a. 弗洛伊德的, 弗洛伊德学说的
n. 相信弗洛伊德学说的人"
frill,"n. (衣饰上的)皱边, 皱边纸饰
vi. 起边皱
vt. 折成皱边"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
frontal,"a. 前面的, 正面的, 额的
n. 额骨, 祭坛(前面的)帏帘, (建筑物的)正面"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[法] 履行, 完成, 达到"
gaseous,"a. 气体的, 气态的, 无实质的
[医] 气[体]的"
geography,"n. 地理学, 地理
[医] 地理"
gland,"n. 腺, 密封套
[化] 衬片; 密封垫"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
[计] 锤头"
hardly,"adv. 刚刚, 几乎不, 勉强是"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
hectare,"n. 公顷
[经] 公顷"
horizon,"n. 地平线, 眼界, (天)视地平"
huckleberry,n. 黑果木
humidity,"n. 湿气, 潮湿, 湿度
[计] 湿度"
hydrothermal,[医] 热水的(温泉)
impurity,"n. 杂质, 不洁, 不纯
[化] 杂质"
incoming,[网络] 打进来；重要的特性是传入的；从内而来
informal,[网络] 不正规教育；非正式语体；形式的
infrastructure,[网络] 基础结构；基础建设；水电路等基础设施
ingenious,"a. 灵敏的, 精巧的, 聪明的"
inhale,"vt. 吸入
vi. 吸气"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
[计] 积分"
interlock,互锁
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
invisible,"a. 看不见的, 无形的
[经] 无形的, 表面上看不见的, 未列在公开帐目的"
iodine,"n. 碘, 碘酒
[化] 碘I-2"
jelly,胶冻，果冻
jurassic,"a. 侏罗纪的, 侏罗系的
n. 侏罗纪"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
kelp,"n. 海草, 巨藻, 海草灰
[医] 海藻"
kettle,"n. 茶壶, 罐
[化] 釜体釜; 锅"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者
n. (Liberal)人名；(葡)利贝拉尔"
likelihood,"n. 可能, 可能性"
linear,"a. 线的, 直线的, 线状的
[计] 线性"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
localize,"vt.vi. 使地方化, 使具有地方性, 使限制于局部, 确定起源, 集中, 局限
[计] 局部化, 定位, 定域"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
logic,"n. 逻辑；逻辑学；逻辑性
a. 逻辑的"
loosely,"adv. 松弛地, 宽松地, 不紧"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
lug,"v. 拖, 拉
n. 一拖, 一拉, 耳朵, 耳状物, 装腔作势, 勒索"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
metropolis,"n. 大都市, 重要中心, 首府
[医] 产地, 生地"
millimeter,[网络] 公厘
molecular,"a. 分子的, 由分子组成的
[医] 分子的"
monument,"n. 纪念碑, 纪念物, 石碑"
monumental,"a. 纪念碑的, 做为纪念的, 不朽的"
moraine,n. 冰碛
mule,[网络] 殖民计划
mutually,"adv. 互相地, 互助"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
nasal,"a. 鼻的, 鼻声的, 尖锐的
n. 鼻音, 鼻音字"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
nonetheless,依然
nourish,"vt. 滋养, 使健壮, 怀有"
officially,"adv. 作为公务员, 职务上, 官方地"
onset,"adj. 开始
[网络] 开集；设；起始温度"
ordinarily,"adv. 通常, 普通, 一般地"
outbreak, 超欠挖
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overgraze,"vi. 过度放牧
vt. 在…上过度放牧"
overirrigation, 滥灌
oversee,"vt. 监督；审查；俯瞰；偷看到, 无意中看到"
parabolic,"a. 寓言的, 比喻的, 抛物线的, 抛物线状的
[机] 抛物线的"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
[医] 父母的, 双亲的"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
payroll,"工资清单,薪工清单;工资薪金总额"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
phonograph,"n. 留声机, 电唱机
vi. 用留声机灌音, 用留声机放音"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
[医] 柱, 脚"
pinpoint,"n. 针尖；极尖的顶端；极小的东西；琐事
v. 极精确地测定[瞄准,轰炸]；指出；确认
adj. 微小的；极准确的
[网络] 针点；针尖镇；针点内含物"
pipeline,[电] 管线
plate tectonics,板块构造学说
plow,"n. 犁
v. 犁, 耕"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
portable,"a. 可携带的, 可搬运的, 可移动的
[计] 可移植的"
portraiture,"n. 肖像绘制(法), 肖像画, 描写"
postage,"n. 邮资
[经] 邮费, 邮资"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
[计] 精度"
predominant,"a. 占主导地位的, 卓越的
[法] 占优势的, 支配其他的, 主要的"
prerequisite,"n. 首要事, 必要事
a. 首要的, 必须的"
prevalence,"n. 普遍, 流行, 广泛
[医] 流行, 盛行"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
progression,"n. 前进, 连续, 级数
[医] 进行, 前进, 步态"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
proponent,"n. 建议者, 支持者
[法] 提议者, 辩护者, 支持者"
propulsion,"n. 推进, 推进力
[医] 前冲, 慌张步态"
prospective,"a. 预期的, 将来的
[经] 预期的, 未来的"
realist,"n. 现实主义者, 写实主义者, 实在论者"
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
recount,"n. 覆算, 覆算票数
v. 覆算"
recruitment,"n. 新兵征召
[医] 募集[反应], 募集[现象](生理), 复聪(耳科)"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
relevance,n. 有关；贴切；中肯；确切；相关(性)；相应；成比例；重大意义；实用性
relict,残存种
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
removal,"n. 移动, 移居, 迁移, 排除, 切除
[医] 切除, 除去"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
repetitive,"a. 重复的, 反复性的"
reshape,vt. 改造；再成形
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
ridiculous,"a. 荒谬的, 可笑的"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
ripen,"vt. 使成熟
vi. 成熟"
risky,a. 危险的
rod,"n. 竿, 笞鞭, 小枝
[化] 棒"
rotation,"n. 旋转, 循环, 轮流
[计] 旋转"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
[医] 原基的, 未成熟的; 残遗的, 已退化的"
saline,"a. 盐的, 苦涩的, 由碱金属(或含镁之盐类)组成的
n. 盐湖, 盐田, 碱盐泻药, 生理盐水"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
sear,"vt. 烤焦；使…枯萎
vi. 干枯；烧焦；凋谢
adj. 枯萎的；烤焦的
n. 烙印；烧焦痕迹
n. (Sear)人名；(英)西尔"
seedling,"n. 秧苗, 树苗
[医] 籽苗, 幼苗, 实生苗"
seemingly,"adv. 看来似乎, 表面上看来"
selective,"a. 选择的, 选择性的
[经] 选择的, 选择性的"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
shipbuilder, 造船者
shoreline,海岸线
silica,"n. 硅石, 二氧化硅
[化] 二氧化硅"
silicate,"n. 硅酸盐
[化] 硅酸盐; 硅酸酯"
simulate,"vt. 模拟, 假装, 模仿
[法] 伪装的, 模拟的; 假装的, 伪装的, 冒充"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
sludge,"n. 软泥, 泥泞
[化] 沉淀物; 泥状沉淀"
soda,"n. 苏打, 碳酸水
[化] 纯碱; 苏打; 碳酸钠"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
speculate,"vi. 深思, 推测, 投机
[经] 投机"
spinach,"n. 菠菜, 货币, 胡说八道"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
[计] 标准化; 规格化"
static,"a. 静态的；静电的；静力的
n. 静电；静电干扰"
subsidy,"n. 补助金, 津贴
[经] 补助金, 津贴, 补贴"
subtropical,adj. （地区）副热带的，亚热带的; （植物）亚热带的
suburb,"n. 市郊住宅区, 郊区, 边缘"
successional,"a. 接连的, 连续性的
[法] 继续的, 连续的, 继承的"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
surpass,"vt. 超越, 凌驾, 胜过"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
swordfish,n. 箭鱼
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
[化] 片剂"
tactic,"n. 策略, 战略
a. 按顺序的, 依次排列的"
telecommunications,(tele-communication 的复数) 电信
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
[计] 终端; 终端设备"
theorist,"n. 理论家, 理论工作者"
trait,"n. 特征, 特性, 一笔, 少许"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transparent,"a. 透明的, 显然的, 清晰的
[计] 透明"
transplantation,"n. 移植, 移民, 移植术
[医] 移植术"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
[化] 湍流; 紊流"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
[法] 不受欢迎的人, 不良份子, 不法份子"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
[计] 均匀地"
unify,"v. 统一, 使成一体"
unprecedented,"a. 空前的
[经] 空前的, 无前例的"
urchin,"n. 淘气鬼, 顽童"
usable,"pron. 我们
[网络] 美国(United States)；美国码；的缩写更新服务参数(Update Service)"
vacation,"n. 假期, 休假
[法] 假期, 停审期, 休庭期"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
viable,"a. 能养活的, 能生长发育的
[医] 有活力的, 有生机的"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
[计] 脱墨; 空白点"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
watercraft,"水运工具
驾舟技术"
waterway,"[经] 水运, 水道"
weed,"vt. 除草；铲除
n. 杂草，野草；菸草
vi. 除草
n. (Weed)人名；(英)威德"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
windmill,[机] 风车
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
wireless,"n. 无线电
a. 无线的, 无线电的"
wooded,a. 树木繁茂的
worthwhile,"na. 有…的价值；有利益的
[网络] 值得；值得的；值得去做"
aboard,"un. A台
[网络] 木板；钻木板；上有一块板"
aborigine,从起初
abound,"vi. 大量存在, 富于, 充满"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
aerodynamic,a. 空气动力学的
aestivation,"n. 夏眠, 度夏"
affordable,[计] 普及型
afield,"adv. 离开着, 偏离着, 在战场上"
agrarian,"a. 土地的, 耕地的
[法] 土地的, 土地所有制的"
alien,阿连
alike,[网络] 相等的
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
allergy,"n. 变应性, 反感, 厌恶
[化] 变态反应; 变应性"
ally, 以-al结尾的形容词加ly构成副词)
alongside,"adv. 在旁边
prep. 在……旁边"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
analogous,"a. 类似的, 相似的
[医] 类似的, 类同的"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
anomaly,"n. 不规则, 反常事物, 畸形
[医] 异常, 反常"
antifreeze,adj. 防冻
antiquity,"n. 古老, 古代, 古代人, 古物"
antler,n. 鹿角
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
arsenic,"n. 砷, 砒霜
[化] 砷As"
assert,"vt. 主张, 坚称, 断言
[法] 宣称, 断言, 维护"
attachment,"n. 连接, 附属物, 连接物, 爱慕
[计] 附加, 附件"
authenticity,"n. 可靠性, 真实性
[经] 确实性, 真实性"
backward,[网络] 后向的；叶向呈后向弯曲
bellow,v. 怒吼
bellows,"n. 风箱
[化] 手风箱; 皮老虎; 波纹管"
billboard,"[经] 广告牌, 揭示牌"
biography,n. 传记
blowhole,[化] (铸件等)气孔; 气眼; 砂眼
bluefin,n. 金枪鱼
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
boulder,"n. 大圆石
[机] 圆石, 漂石"
broadside,船舷
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
bushel,"n. 蒲式耳(容量单位)
v. 修整(衣物)"
cape,"n. 岬, 海角, 披肩, 斗蓬"
carrier,"n. 运送者, 邮递员, 带菌者
[计] 载波"
certainty,"n. 确定, 确实的事情
[法] 确定, 肯定, 必然的事"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
chloride,"n. 氯化物
[化] 氯化物; 盐酸盐"
chunk,"n. 大块, 矮胖的人(或物)
[经] 定样"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
[计] 簇"
coconut,"n. 椰子；椰子树
[网络] 欧椰"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
compaction,"[计] 压缩, 浓缩, 精简, 简缩"
comparative,"a. 比较的, 相对的
n. 对手"
conclusive,"a. 决定性的, 确定性的, 最后的
[法] 决定性的, 不容置疑的, 确实的"
conductance,"n. 电导, 电导率, 传导力
[化] 电导"
conductor,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
consensus,"n. 合意, 一致, 同感
[计] 合意"
conservative,"a. 保守的, 守旧的, 有保存力的
[化] 防腐剂; 保存剂"
contention,"n. 争论, 争辩, 所持的论点
[计] 争用"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cuneiform,"a. 楔形的, 楔形文字的, 楔状骨的
n. 楔形文字, 楔状骨"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
damp,"氨苄西林,氨苄青霉素"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
declaration,"n. 宣告, 说明, 宣布
[计] 说明"
defect,"n. 缺点
[医] 缺损, 缺陷"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
deglaciation,n. 冰川的消失
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
determination,"n. 决心, 果断
[化] 判定; 测定"
directional,a. 方向的
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disorient,"vt. 使失去方向, 使迷惑"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
[医] 处理, 处置"
donation,"n. 捐赠物, 捐款, 捐赠
[经] 赠品, 捐款, 捐赠"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
drastic,"a. 激烈的
[医] 峻泻药, 剧烈的"
droplet,"n. 小滴
[医] 小滴"
electrician,"n. 电学家, 电气技师, 电工
[化] 电工; 电气工人"
elementary,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的"
elicit,"vt. 引出, 推导出, 引起"
emperor,"n. 皇帝, 君主"
endogenous,"a. 内源的
[医] 内生的, 内原的"
enormously,"adv. 非常地, 巨大地"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
enthusiasm,"n. 巨大的热情, 热心"
evoke,"vt. 唤起, 引起, 召(魂)
[法] 提审, 移送"
extermination,"n. 消灭, 根绝"
extrinsic,"a. 外在的, 外来的, 非国有的, 外表的
[医] 外部的, 体外的"
fairy,"n. 仙女, 精灵
a. 仙女的"
fatten,"vi. 养肥
vt. 使肥胖"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
[经] 合伙关系, 研究员薪金, 研究员基金"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
flagship,旗舰
flask,"n. 细颈瓶, 烧瓶, 小水瓶
[化] 瓶; 烧瓶"
floodplain, 河漫滩; 河滩; 洪泛地; 洪泛平原
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
foraminifera,[医] 有孔虫目
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
freshly,"adv. 新, 新近, 精神饱满"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
geyser,"n. 喷泉, 间歇泉"
gill,"n. 鳃, 菌褶, 沟壑, 少女
vt. 用刺网捕, 去除内脏
vi. 被刺网捕住"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
herbicide,"n. 除草剂
[化] 除草剂"
hinder,"a. 后面的
v. 阻碍, 打扰"
hoar,"a. 白的, 灰色的, 发白的
n. 灰白, 灰白色, 白霜"
hormone,"n. 荷尔蒙
[化] 激素(旧称荷尔蒙)"
impetus,"n. 动力, 推动力, 动量
[医] 冲动, 动能, 起始(病)"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
[经] 不讲明的, 含蓄的"
inappropriate,"a. 不适当的, 不相称的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
[法] 非决定性的, 不确定的, 无结果的"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
[法] 矛盾的, 不一致的, 不协调的"
inconvenient,"a. 不便的, 有困难的"
individuality,"n. 个性, 个人, 特征"
inevitable,"a. 不可避免的, 必然的
[法] 不可避免的, 无法规避的, 必然的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
informant,"n. 提供消息者, 密告者, 被调查者
[经] 填报人, 被征询人"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
instability,"n. 不安定, 不稳定
[医] 不稳定性"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integrity,"n. 正直, 廉正, 完整
[计] 完整性"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
interference,"n. 冲突, 干涉
[计] 干扰"
internship,"n. 实习医师的职务
[医] 实习医师职位, 实习医师期"
Israel,"n. 以色列, 以色列后裔, 犹太人"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
junction,"n. 连接, 会合处, 交叉点
[医] 接[合]处, 接点.[接]界"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
[计] 清除"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
kit,"n. 装备, 工具箱, 成套工具
[计] 成套部件; 成套零件"
kneel,[地名] 尼湖 ( 加 )
landform,"un. 地形
[网络] 地貌；兰的地貌；陆生型"
landmass,"大陆块,大片陆地"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
[机] 洗衣作, 洗衣店, 洗衣房"
layout,"n. 布局；设计；规划；安排
[网络] 布置；摆开；花费"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
lee,[网络] 杜礼威
leftover, [计]剩余
legislation,"n. 立法, 法律
[医] 立法, 法规"
legume,"n. 豆类, 豆荚
[医] 豆, [豆]荚"
locus,"n. 轨迹；地点, 所在地"
longitude,"n. 经度, 经线
[电] 经度"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
[计] 页边距"
marshy,"a. 多沼地的, 湿地的, 沼地的"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
[计] 合并"
metallurgy,"n. 冶金学, 冶金术
[化] 冶金"
meteoric,"a. 流星的, 疾速的, 大气的"
mexican,"n. 墨西哥人, 墨西哥语
a. 墨西哥的"
microbe,"n. 微生物, 细菌
[医] 微生物"
migrant,"n. 候鸟, 移居者
[法] 移居者"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
monopoly,[网络] 韩国进口文具
mosque,n. 清真寺
motionless,"a. 不动的, 静止的
[机] 不动的, 静止的"
